transaction_id,customer_id,transaction_date,category,channel,amount_sgd
TXN500150,CUST102083,2026-07-28,Fashion,Online,55.52
TXN500151,CUST104842,2026-06-15,Fashion,Online,98.69
TXN500152,CUST102927,2026-07-20,Electronics,Online,466.53
TXN500153,CUST101858,2025-08-20,Toys & Baby,Online,52.65
TXN500154,CUST102877,2026-04-11,Sports & Outdoors,Online,189.19
TXN500155,CUST105247,2026-06-02,Sports & Outdoors,Online,134.37
TXN500156,CUST104414,2026-06-18,Sports & Outdoors,Online,84.74
TXN500157,CUST101048,2026-07-10,Toys & Baby,Online,12.92
TXN500158,CUST105050,2026-06-22,Beauty,Online,118.05
TXN500159,CUST102594,2026-07-13,Fashion,Online,90.77
TXN500160,CUST100506,2025-12-25,Fashion,Online,127.88
TXN500161,CUST100888,2026-04-18,Home & Living,Online,28.07
TXN500162,CUST100404,2025-08-13,Fashion,Online,56.87
TXN500163,CUST104079,2026-06-01,Home & Living,Online,22.6
TXN500164,CUST101551,2026-05-21,Sports & Outdoors,Online,198.62
TXN500165,CUST100587,2026-05-28,Fashion,Online,76.1
TXN500166,CUST102195,2026-03-27,Fashion,Online,106.67
TXN500167,CUST105219,2026-04-17,Fashion,In-Store,93.11
TXN500168,CUST103789,2025-08-13,Home & Living,Online,269.83
TXN500169,CUST102923,2025-09-11,Fashion,Online,75.52
TXN500170,CUST104419,2026-06-27,Toys & Baby,In-Store,44.57
TXN500171,CUST100462,2025-09-02,Groceries,Online,23.28
TXN500172,CUST105316,2025-08-04,Sports & Outdoors,Online,231.4
TXN500173,CUST101072,2025-09-02,Groceries,Online,43.81
TXN500174,CUST100127,2025-08-31,Sports & Outdoors,Online,237.25
TXN500175,CUST102174,2025-10-17,Electronics,Online,118.11
TXN500176,CUST100360,2026-04-22,Fashion,Online,99.29
TXN500177,CUST101012,2025-12-01,Home & Living,In-Store,81.26
TXN500178,CUST104452,2026-05-03,Home & Living,Online,290.95
TXN500179,CUST102426,2025-12-26,Home & Living,Online,227.23
TXN500180,CUST100041,2026-07-27,Beauty,Online,69.12
TXN500181,CUST103879,2025-08-01,Home & Living,In-Store,208.06
TXN500182,CUST104266,2026-07-29,Sports & Outdoors,Online,20.64
TXN500183,CUST105427,2026-04-07,Beauty,Online,78.21
TXN500184,CUST100933,2026-06-21,Toys & Baby,In-Store,65.62
TXN500185,CUST105165,2025-11-04,Electronics,In-Store,597.07
TXN500186,CUST104277,2025-12-13,Beauty,Online,38.99
TXN500187,CUST103393,2026-07-06,Toys & Baby,Online,43.05
TXN500188,CUST101576,2025-12-28,Electronics,In-Store,168.38
TXN500189,CUST102750,2026-06-27,Fashion,Online,82.79
TXN500190,CUST101195,2025-11-27,Fashion,Online,97.89
TXN500191,CUST104330,2025-12-28,Home & Living,Online,149.59
TXN500192,CUST104243,2026-07-10,Home & Living,Online,252.5
TXN500193,CUST101157,2025-09-20,Sports & Outdoors,In-Store,170.81
TXN500194,CUST101520,2026-07-02,Groceries,In-Store,43.31
TXN500195,CUST105423,2025-09-03,Sports & Outdoors,Online,173.48
TXN500196,CUST102837,2025-11-15,Sports & Outdoors,In-Store,34.33
TXN500197,CUST103312,2026-07-19,Sports & Outdoors,In-Store,60.96
TXN500198,CUST105757,2026-03-25,Toys & Baby,Online,93.84
TXN500199,CUST101246,2026-04-17,Sports & Outdoors,Online,118.25
TXN500200,CUST103781,2025-09-01,Groceries,In-Store,28.07
TXN500201,CUST104657,2025-09-20,Toys & Baby,Online,46.09
TXN500202,CUST101924,2026-03-15,Toys & Baby,Online,30.93
TXN500203,CUST101859,2026-01-10,Electronics,In-Store,740.72
TXN500204,CUST105397,2026-05-15,Toys & Baby,In-Store,72.93
TXN500205,CUST100608,2026-05-30,Toys & Baby,Online,65.34
TXN500206,CUST100952,2026-04-25,Sports & Outdoors,In-Store,27.39
TXN500207,CUST102467,2026-02-13,Toys & Baby,In-Store,67.8
TXN500208,CUST104815,2026-07-25,Sports & Outdoors,Online,204.96
TXN500209,CUST102735,2025-10-15,Electronics,Online,253.73
TXN500210,CUST101631,2025-10-22,Electronics,In-Store,468.92
TXN500211,CUST102525,2025-10-19,Groceries,Online,50.71
TXN500212,CUST102679,2025-11-04,Electronics,Online,94.94
TXN500213,CUST104382,2025-09-19,Beauty,Online,73.57
TXN500214,CUST105228,2026-06-14,Toys & Baby,Online,25.9
TXN500215,CUST101934,2026-07-22,Toys & Baby,Online,97.71
TXN500216,CUST104276,2026-02-26,Electronics,Online,467.0
TXN500217,CUST104230,2026-04-08,Home & Living,Online,108.76
TXN500218,CUST104614,2025-10-11,Home & Living,In-Store,242.81
TXN500219,CUST103461,2026-04-10,Home & Living,Online,251.78
TXN500220,CUST100085,2026-02-13,Toys & Baby,Online,93.5
TXN500221,CUST103952,2026-04-26,Electronics,Online,516.3
TXN500222,CUST103689,2025-09-28,Electronics,Online,245.52
TXN500223,CUST103684,2026-02-20,Sports & Outdoors,Online,237.66
TXN500224,CUST101696,2025-12-02,Beauty,Online,82.25
TXN500225,CUST100598,2026-02-28,Home & Living,Online,33.72
TXN500226,CUST101141,2025-11-09,Fashion,In-Store,23.03
TXN500227,CUST101304,2026-03-06,Electronics,In-Store,841.91
TXN500228,CUST101048,2025-09-02,Beauty,In-Store,44.25
TXN500229,CUST101473,2026-02-20,Toys & Baby,In-Store,43.28
TXN500230,CUST100421,2026-03-28,Toys & Baby,Online,45.8
TXN500231,CUST101622,2026-04-07,Fashion,Online,39.65
TXN500232,CUST105987,2025-10-12,Beauty,Online,115.76
TXN500233,CUST103062,2025-08-05,Home & Living,Online,206.59
TXN500234,CUST102070,2026-01-09,Toys & Baby,In-Store,93.07
TXN500235,CUST104346,2026-01-02,Sports & Outdoors,Online,41.35
TXN500236,CUST102823,2025-08-20,Electronics,Online,119.36
TXN500237,CUST100180,2026-02-10,Beauty,In-Store,103.26
TXN500238,CUST103289,2025-09-22,Sports & Outdoors,In-Store,58.49
TXN500239,CUST101827,2026-05-03,Fashion,In-Store,68.24
TXN500240,CUST103437,2026-06-14,Groceries,Online,52.52
TXN500241,CUST101046,2026-04-27,Toys & Baby,Online,20.92
TXN500242,CUST102902,2026-06-19,Groceries,Online,47.65
TXN500243,CUST101169,2025-10-25,Electronics,In-Store,135.26
TXN500244,CUST101799,2026-06-08,Toys & Baby,Online,29.53
TXN500245,CUST104147,2026-02-28,Sports & Outdoors,Online,151.99
TXN500246,CUST101371,2025-10-29,Electronics,Online,604.23
TXN500247,CUST102504,2026-04-02,Home & Living,Online,131.53
TXN500248,CUST100446,2025-09-13,Sports & Outdoors,In-Store,237.97
TXN500249,CUST104147,2026-05-23,Electronics,In-Store,793.62
TXN500250,CUST103233,2025-11-07,Home & Living,Online,92.65
TXN500251,CUST104902,2025-08-01,Fashion,In-Store,141.96
TXN500252,CUST103208,2026-04-06,Electronics,Online,447.47
TXN500253,CUST105966,2026-03-19,Electronics,Online,207.4
TXN500254,CUST101452,2025-11-08,Home & Living,Online,23.15
TXN500255,CUST104469,2026-05-20,Fashion,In-Store,128.31
TXN500256,CUST102599,2025-12-11,Sports & Outdoors,Online,198.81
TXN500257,CUST102256,2025-11-02,Toys & Baby,In-Store,67.9
TXN500258,CUST104409,2025-08-16,Home & Living,Online,84.7
TXN500259,CUST105739,2025-09-03,Groceries,In-Store,18.47
TXN500260,CUST104546,2026-05-02,Fashion,In-Store,34.31
TXN500261,CUST101980,2025-10-26,Beauty,In-Store,89.59
TXN500262,CUST103052,2025-10-15,Beauty,Online,39.25
TXN500263,CUST101308,2026-03-16,Fashion,Online,84.94
TXN500264,CUST103734,2025-09-08,Groceries,Online,16.15
TXN500265,CUST102413,2025-11-04,Fashion,Online,111.25
TXN500266,CUST101373,2026-02-25,Sports & Outdoors,Online,56.3
TXN500267,CUST100125,2026-04-04,Groceries,In-Store,33.15
TXN500268,CUST105563,2026-06-14,Beauty,Online,83.35
TXN500269,CUST100482,2026-02-02,Toys & Baby,In-Store,97.85
TXN500270,CUST101977,2026-06-27,Fashion,Online,42.05
TXN500271,CUST101149,2026-06-22,Fashion,In-Store,143.61
TXN500272,CUST102967,2025-11-26,Groceries,In-Store,58.72
TXN500273,CUST101176,2026-04-16,Beauty,In-Store,114.57
TXN500274,CUST104434,2026-01-02,Groceries,In-Store,47.8
TXN500275,CUST101353,2026-01-25,Groceries,Online,21.94
TXN500276,CUST101118,2026-01-03,Toys & Baby,Online,53.39
TXN500277,CUST101307,2026-07-03,Electronics,Online,113.52
TXN500278,CUST101791,2026-01-05,Beauty,Online,55.48
TXN500279,CUST103866,2025-11-04,Home & Living,Online,58.25
TXN500280,CUST101263,2025-10-10,Groceries,Online,8.39
TXN500281,CUST104204,2026-03-01,Groceries,In-Store,42.68
TXN500282,CUST102586,2026-02-13,Beauty,Online,69.79
TXN500283,CUST101188,2026-01-17,Toys & Baby,Online,42.51
TXN500284,CUST101445,2025-12-07,Electronics,Online,763.15
TXN500285,CUST103160,2026-02-12,Toys & Baby,Online,13.23
TXN500286,CUST102274,2025-12-05,Electronics,In-Store,269.51
TXN500287,CUST103075,2025-11-12,Home & Living,Online,186.1
TXN500288,CUST104895,2025-11-03,Groceries,Online,12.83
TXN500289,CUST100280,2025-12-09,Groceries,In-Store,50.39
TXN500290,CUST102360,2025-08-11,Sports & Outdoors,In-Store,183.09
TXN500291,CUST102494,2025-11-14,Home & Living,In-Store,236.21
TXN500292,CUST101510,2025-08-15,Fashion,In-Store,113.05
TXN500293,CUST102655,2026-05-06,Toys & Baby,Online,80.56
TXN500294,CUST103412,2025-12-04,Groceries,In-Store,43.37
TXN500295,CUST103518,2025-12-12,Beauty,In-Store,42.93
TXN500296,CUST104038,2026-03-20,Electronics,In-Store,852.43
TXN500297,CUST100467,2026-01-20,Electronics,Online,351.31
TXN500298,CUST102763,2026-03-02,Beauty,In-Store,37.06
TXN500299,CUST104559,2026-07-02,Electronics,In-Store,309.53
TXN500300,CUST102735,2026-03-13,Toys & Baby,Online,15.62
TXN500301,CUST103955,2026-07-09,Fashion,Online,17.09
TXN500302,CUST103552,2025-09-11,Home & Living,Online,32.51
TXN500303,CUST102794,2025-12-29,Home & Living,Online,121.94
TXN500304,CUST100482,2025-12-23,Sports & Outdoors,Online,147.4
TXN500305,CUST103815,2025-12-28,Fashion,In-Store,101.27
TXN500306,CUST103206,2026-03-17,Toys & Baby,In-Store,75.46
TXN500307,CUST100034,2025-10-20,Fashion,Online,37.08
TXN500308,CUST101245,2026-03-03,Toys & Baby,In-Store,39.54
TXN500309,CUST100376,2025-10-23,Home & Living,Online,21.35
TXN500310,CUST103432,2026-02-05,Fashion,In-Store,95.79
TXN500311,CUST100089,2026-02-13,Home & Living,Online,214.05
TXN500312,CUST105072,2026-04-21,Sports & Outdoors,Online,84.29
TXN500313,CUST105693,2026-02-23,Sports & Outdoors,Online,213.05
TXN500314,CUST105853,2026-05-04,Fashion,Online,23.55
TXN500315,CUST101362,2026-03-10,Home & Living,Online,62.54
TXN500316,CUST102973,2026-03-20,Home & Living,Online,196.83
TXN500317,CUST105368,2025-08-19,Sports & Outdoors,In-Store,202.91
TXN500318,CUST104149,2026-03-11,Beauty,Online,101.71
TXN500319,CUST101799,2025-11-20,Electronics,Online,172.34
TXN500320,CUST105020,2026-03-27,Electronics,Online,213.82
TXN500321,CUST103454,2026-03-24,Home & Living,Online,254.38
TXN500322,CUST104401,2026-03-18,Sports & Outdoors,In-Store,196.77
TXN500323,CUST105816,2025-11-15,Home & Living,Online,49.9
TXN500324,CUST105985,2026-05-16,Fashion,In-Store,89.27
TXN500325,CUST103025,2026-01-13,Toys & Baby,In-Store,36.94
TXN500326,CUST100947,2026-01-26,Fashion,Online,62.75
TXN500327,CUST103732,2025-12-31,Sports & Outdoors,Online,210.35
TXN500328,CUST103880,2026-06-26,Fashion,Online,84.05
TXN500329,CUST103443,2025-08-30,Beauty,Online,111.24
TXN500330,CUST102535,2026-04-23,Home & Living,Online,251.18
TXN500331,CUST103498,2025-12-20,Toys & Baby,Online,33.25
TXN500332,CUST103201,2026-04-02,Beauty,Online,114.5
TXN500333,CUST105677,2025-09-02,Fashion,Online,36.9
TXN500334,CUST105043,2025-08-08,Home & Living,In-Store,255.21
TXN500335,CUST102361,2026-01-17,Sports & Outdoors,In-Store,145.67
TXN500336,CUST103435,2025-09-09,Groceries,Online,8.91
TXN500337,CUST103409,2025-10-23,Toys & Baby,In-Store,38.47
TXN500338,CUST103058,2025-08-11,Sports & Outdoors,In-Store,246.78
TXN500339,CUST100357,2026-01-18,Toys & Baby,Online,36.03
TXN500340,CUST104301,2025-12-08,Home & Living,In-Store,33.15
TXN500341,CUST104408,2026-01-04,Home & Living,Online,133.23
TXN500342,CUST102911,2025-11-09,Groceries,Online,51.97
TXN500343,CUST105426,2026-02-22,Beauty,Online,47.48
TXN500344,CUST105908,2026-02-27,Home & Living,Online,214.59
TXN500345,CUST104896,2025-12-02,Fashion,Online,48.6
TXN500346,CUST105579,2025-09-05,Toys & Baby,Online,91.4
TXN500347,CUST102929,2026-07-05,Home & Living,Online,288.53
TXN500348,CUST105497,2025-08-20,Groceries,In-Store,57.59
TXN500349,CUST105621,2025-11-22,Home & Living,Online,89.81
TXN500350,CUST103757,2026-07-21,Groceries,In-Store,37.6
TXN500351,CUST100910,2026-01-20,Electronics,Online,380.56
TXN500352,CUST100919,2025-08-28,Electronics,Online,394.42
TXN500353,CUST102841,2025-11-07,Toys & Baby,Online,76.82
TXN500354,CUST104431,2026-01-07,Sports & Outdoors,Online,110.18
TXN500355,CUST103006,2026-07-26,Toys & Baby,Online,72.34
TXN500356,CUST104824,2026-02-17,Beauty,In-Store,119.38
TXN500357,CUST104631,2026-04-14,Toys & Baby,Online,23.52
TXN500358,CUST101228,2025-10-01,Toys & Baby,Online,57.35
TXN500359,CUST100807,2026-01-04,Fashion,In-Store,131.49
TXN500360,CUST104258,2026-04-23,Home & Living,Online,296.18
TXN500361,CUST101929,2026-02-10,Electronics,In-Store,880.67
TXN500362,CUST105601,2025-11-23,Electronics,Online,840.56
TXN500363,CUST105226,2026-06-20,Sports & Outdoors,Online,199.08
TXN500364,CUST102712,2026-01-31,Home & Living,Online,249.76
TXN500365,CUST103493,2026-07-10,Fashion,In-Store,115.41
TXN500366,CUST105103,2026-05-25,Home & Living,In-Store,235.86
TXN500367,CUST105244,2026-03-04,Beauty,Online,55.1
TXN500368,CUST103350,2025-12-25,Sports & Outdoors,Online,232.4
TXN500369,CUST105830,2026-02-28,Home & Living,Online,168.85
TXN500370,CUST103122,2025-08-24,Home & Living,Online,38.96
TXN500371,CUST100250,2026-03-13,Beauty,Online,52.75
TXN500372,CUST103386,2025-12-12,Electronics,In-Store,669.67
TXN500373,CUST104676,2025-08-21,Home & Living,Online,211.15
TXN500374,CUST105914,2025-12-02,Groceries,In-Store,29.86
TXN500375,CUST100647,2026-05-15,Electronics,Online,371.46
TXN500376,CUST102645,2026-07-25,Beauty,In-Store,10.72
TXN500377,CUST103530,2025-11-10,Fashion,Online,139.43
TXN500378,CUST105308,2026-05-15,Beauty,In-Store,21.56
TXN500379,CUST104320,2026-05-24,Toys & Baby,In-Store,28.74
TXN500380,CUST101392,2025-09-28,Electronics,In-Store,365.74
TXN500381,CUST105177,2026-07-13,Groceries,Online,37.6
TXN500382,CUST104004,2026-04-05,Groceries,Online,37.71
TXN500383,CUST105389,2025-12-15,Groceries,Online,29.62
TXN500384,CUST105022,2025-08-30,Toys & Baby,Online,47.88
TXN500385,CUST100788,2025-09-25,Electronics,In-Store,391.18
TXN500386,CUST105767,2025-12-01,Home & Living,Online,120.5
TXN500387,CUST102731,2026-03-31,Groceries,Online,39.81
TXN500388,CUST105899,2026-05-07,Electronics,Online,464.14
TXN500389,CUST101127,2026-01-12,Fashion,Online,25.34
TXN500390,CUST104783,2025-12-20,Fashion,In-Store,124.6
TXN500391,CUST101832,2025-12-11,Home & Living,Online,135.35
TXN500392,CUST100275,2025-08-04,Fashion,In-Store,52.5
TXN500393,CUST105965,2025-11-27,Beauty,In-Store,72.95
TXN500394,CUST101823,2026-05-30,Fashion,Online,39.8
TXN500395,CUST100492,2025-12-21,Electronics,In-Store,97.21
TXN500396,CUST105183,2025-10-04,Sports & Outdoors,Online,30.96
TXN500397,CUST102597,2025-09-05,Beauty,In-Store,90.18
TXN500398,CUST103468,2026-03-14,Fashion,In-Store,139.53
TXN500399,CUST105914,2026-05-24,Electronics,Online,504.87
TXN500400,CUST102892,2026-03-12,Groceries,In-Store,52.17
TXN500401,CUST100410,2025-11-01,Beauty,Online,105.43
TXN500402,CUST104171,2026-05-19,Electronics,Online,799.56
TXN500403,CUST104289,2025-08-18,Fashion,Online,75.19
TXN500404,CUST101172,2025-10-02,Beauty,Online,61.97
TXN500405,CUST103275,2026-03-24,Groceries,In-Store,21.15
TXN500406,CUST102213,2026-02-18,Toys & Baby,Online,52.95
TXN500407,CUST100306,2025-10-18,Electronics,Online,168.82
TXN500408,CUST101873,2025-12-17,Sports & Outdoors,In-Store,146.68
TXN500409,CUST105471,2025-12-17,Home & Living,Online,133.23
TXN500410,CUST101808,2026-05-25,Fashion,In-Store,52.59
TXN500411,CUST101341,2026-04-20,Sports & Outdoors,Online,163.87
TXN500412,CUST105655,2026-05-22,Fashion,In-Store,145.2
TXN500413,CUST102295,2026-03-04,Home & Living,Online,297.27
TXN500414,CUST105653,2025-12-22,Home & Living,Online,277.17
TXN500415,CUST105301,2025-09-13,Toys & Baby,In-Store,12.34
TXN500416,CUST102828,2025-08-07,Electronics,In-Store,410.4
TXN500417,CUST102309,2026-02-04,Electronics,Online,797.64
TXN500418,CUST100837,2026-02-27,Beauty,Online,72.96
TXN500419,CUST101151,2026-04-13,Groceries,Online,5.55
TXN500420,CUST101399,2025-09-21,Toys & Baby,In-Store,40.89
TXN500421,CUST102828,2025-07-31,Groceries,Online,37.94
